@relation arceneGPData

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute att61 numeric
@attribute att62 numeric
@attribute att63 numeric
@attribute att64 numeric
@attribute att65 numeric
@attribute att66 numeric
@attribute att67 numeric
@attribute att68 numeric
@attribute att69 numeric
@attribute att70 {' class-2',' class-1'}

@data
0.121269,0.084559,0,0,0.147059,0,0.092784,0,0,0.064935,0.24,0.040541,0.162162,0.160839,0,0,0.585106,0,0,0,0,0.862385,0.127273,0,0.437956,0,0,0.021205,0,0,0.292776,0.97553,0,0,0.324468,0,0,0.960648,0.100962,0,0.606398,0.928962,0,0.792453,0.066085,0,0,0,0,0.050938,0,0,0.238606,0,0,0.346154,0.175719,0.313609,0,0.708696,0.317204,0,0,0,0,0.917857,0,0,0,' class-1'
0.882463,0.91299,0.046154,0,0.058824,0.263158,0.880155,0,0,0,0.346667,0.344595,0.216216,0.230769,0.636119,0,0,0.314917,0,0.723577,0,0,0.122727,0.421875,0,0.307992,0.683146,0.78125,0.557252,0.209677,0.072243,0.039152,0,0.588808,0,0,0,0.814815,0,0.353535,0,0,0,0,0.835411,0,0.242754,0,0.483871,0.136729,0.292308,0.079051,0.359249,0,0,0,0.083067,0,0.04797,0,0,0,0,0.475728,0.102703,0.814286,0,0.246291,0,' class-2'
0.063433,0.112745,0.041026,0.841304,0,0,0.393041,0,0,0,0,0.09009,0.618243,0.118881,0.12938,0,0.521277,0.668508,0,0.130081,0,0.801223,0.218182,0,0.080292,0,0,0.095982,0.160305,0,0.258555,0.990212,0,0,0,0.506024,0,0.810185,0.350962,0,0.59249,0.765027,0,0,0.407731,0.819149,0,0.037383,0,0,0,0,0.201072,0,0,0.647436,0.744409,0.357988,0,0.895652,0.037634,0,0.522727,0.504854,0,0.778571,0.031161,0,0,' class-1'
0.399254,0.377451,0,0,0.5,0,0.791237,0,0,0,0.12,0.063063,0.185811,0,0.17655,0,0.114362,0,0.117647,0.056911,0,0.446483,0.027273,0,0,0,0,0.353795,0,0.048387,0.243346,0.600326,0,0,0,0,0,0.145833,0.149038,0,1,0.42623,0.427711,0,0.392768,0,0.373188,0,0.505376,0,0,0,0.847185,0,0,0.192308,0,0.840237,0.088561,0,0.290323,0,0,0,0.562162,0.35,0,0,0,' class-2'
0.815299,0.327206,0,0,0,0.710526,0.260309,0,0,0,0,1,0.168919,0.216783,0.264151,0.253333,0,0.099448,0,0,0,0,0.231818,0,0.100365,1,0.011236,0.290179,0.145038,0.725806,0.357414,0,1,0,0.005319,0.349398,0,0.671296,0.336538,0.020202,0,0,0.009036,0,0.256858,0,0.76087,0.308411,0.698925,1,1,1,0.643432,0,0,0.115385,0.019169,0,0.121771,0.091304,0.102151,0,0.477273,0.194175,0.027027,0.657143,0,0.74184,0,' class-1'
0.462687,0.377451,0,0,0.323529,0,0.703608,0,0,0.064935,0.133333,0.078829,0.287162,0.412587,0.21159,0.44,0.191489,0,0,0.154472,0,0.498471,0.054545,0,0,0,0.020225,0.420759,0,0.370968,0.368821,0.781403,0,0,0.021277,0,0,0.247685,0.326923,0,0.890125,0.590164,0.322289,0.528302,0.335411,0,0.583333,0.504673,0.064516,0,0,0,0.938338,0,0,0.288462,0,0.494083,0.077491,0.308696,0.188172,0,0.136364,0,0.383784,0.396429,0,0.011869,0,' class-2'
0.576493,0.714461,0.266667,0,0,0,0.805412,0,0,0,0.693333,0.328829,0.219595,0.440559,0.886792,0,0.154255,0.359116,0,0.739837,0,0.321101,0.072727,0.171875,0,0.25731,0.638202,0.899554,0.671756,0,0.676806,0.380098,0,0.59854,0,0,0,0.439815,0.0625,0,0.275382,0.229508,0.045181,0,0.781796,0,0.199275,0.308411,0,0,0.015385,0.110672,0.439678,0,0,0.512821,0.099042,0.266272,0.287823,0.443478,0.430108,0,0,0.747573,0.059459,0.65,0,0.430267,0,' class-1'
0.813433,0.617647,0.446154,0,0,0,0.698454,0.064394,0,0,0,0.490991,0.165541,0.272727,0.665768,0,0,0.569061,0,0.634146,0,0,0.177273,0,0.020073,0.391813,0.361798,0.667411,0.862595,1,0.140684,0,0,0.311436,0.021277,0.228916,0,0.701389,0,0,0,0,0.376506,0.04717,0.715711,0,0.054348,0,0.516129,0.075067,0.430769,0.199605,0.375335,0,0,0,0.230032,0.035503,0.701107,0,0.290323,0,0.772727,0.815534,0,0.675,0,0.682493,0,' class-1'
0.393657,0.463235,0,0,0,0,0.739691,0,0,0,0,0.074324,0,0.678322,0.167116,0,0.234043,0,0.176471,0,0,0.700306,0.277273,0,0,0,0,0.330357,0,0.129032,0.479087,0.792822,0,0,0,0,0,0.12963,0.403846,0,0.625869,0.486339,0.135542,0,0.430175,0,0.23913,0,0,0,0,0,0.97319,0,0,0.50641,0,0.523669,0.095941,0.047826,0.048387,0,0.431818,0,0.681081,0.457143,0,0,0,' class-1'
0.802239,0.615196,0.374359,0,0,0.026316,0.568299,0,0,0,0,0.349099,0.141892,0.412587,0.607817,0,0,0.370166,0,0.268293,0,0,0.359091,0,0,0.368421,0.213483,0.671875,0.854962,0,0,0,0,0.128954,0,0,0,0.884259,0,0,0,0,0.10241,0.075472,0.55985,0.138298,0.166667,0,0.129032,0.08311,0.215385,0.116601,0.544236,0,0,0,0.15016,0,0.405904,0,0.247312,0,0.431818,0.368932,0.021622,0.478571,0,0.37092,0,' class-1'
0.854478,0.640931,0.235897,0,0.529412,0,0.627577,0,0,0,0.493333,0.346847,0.209459,0,0.61186,0,0,0.220994,0,0.536585,0,0,0.981818,0,0,0.319688,0.458427,0.679688,0.633588,0.467742,0,0,0,0,0.042553,0.26506,0,0.881944,0,0.949495,0,0,0,0,0.57606,0,0,0,0,0.088472,0,0.045455,0.44504,0,0,0,0.108626,0,0.483395,0,0.188172,0,0.454545,0.485437,0.145946,0.432143,0,0.264095,0,' class-1'
0.29291,0.526961,0,0,0,0,0.713918,0,0,0.441558,0.146667,0.092342,0.273649,0,0.208895,0,0.196809,0,0.676471,0.00813,0,0.574924,0.186364,0,0,0.05848,0,0.433036,0,0.064516,0.43346,0.721044,0,0,0,0.686747,0,0.256944,0.278846,0,0.522949,0.442623,0.298193,0,0.55985,0,0.101449,0.074766,0,0,0,0.001976,0.922252,0,0.173913,0.230769,0,0.372781,0,0.1,0.129032,0,0.590909,0,0.891892,0.342857,0,0.038576,0,' class-1'
0.016791,0.134804,0,0.269565,0.470588,0,0.271907,0,0,0,0,0.171171,0.155405,0.454545,0.057951,0,0.571809,0.331492,0,0,0,0.64526,0.077273,0,0.228102,0,0,0.045759,0,0,0.365019,0.949429,0,0,0,0.493976,0,0.803241,0.014423,0,0.59388,0.934426,0,0.075472,0.125935,0.180851,0,0,0,0.034853,0,0,0.018767,0,0,0.948718,0.517572,0.411243,0,0.93913,0.419355,0,0,0,0,0.967857,0,0,0,' class-1'
0.160448,0.055147,0,0.115217,0,0,0.168814,0,0,0,0.026667,0.033784,0,0,0.004043,0.533333,0.571809,0.077348,0,0,0,0.727829,0.613636,0,0.184307,0,0,0.045759,0,0.370968,0.34981,0.942904,0,0,0.06383,0.349398,0,0.736111,0.269231,0,0.520167,0.885246,0,0,0.154613,0,0.423913,0,0,0,0,0,0.209115,0,0,0.846154,0.166134,0.37574,0,0.830435,0,0,0,0,0,0.953571,0,0,0,' class-2'
0.841418,0.648284,0.235897,0,0,0,0.637887,0,0,0,0,0.209459,0.192568,0.475524,0.712938,0.04,0,0.353591,0,0.682927,0,0,0.277273,0.046875,0,0.196881,0.521348,0.728795,0.625954,0,0,0,0,0,0,0,0,0.854167,0,0,0,0,0,0,0.5798,0,0,0,0,0.072386,0,0.029644,0.428954,0,0,0,0.13738,0,0.383764,0,0,0,0.25,0.582524,0.162162,0.464286,0,0.172107,0,' class-1'
0.828358,0.620098,0.302564,0,0.352941,0,0.604381,0,0,0,0,0.436937,0.168919,0.286713,0.710243,0,0,0.441989,0,0.837398,0,0,0.022727,0.109375,0,0.37037,0.651685,0.764509,0.870229,0,0,0,0,0,0.319149,0,0,0.831019,0,0.050505,0,0,0,0,0.61596,0,0.119565,0,0,0.126005,0.230769,0.106719,0.479893,0,0,0,0.207668,0,0.202952,0,0.284946,0,0,0.728155,0.075676,0.771429,0,0.477745,0,' class-1'
0.524254,0.387255,0,0,0,0,0.742268,0,0,0,0,0.013514,0.222973,0,0.250674,0.32,0.210106,0,0,0.089431,0,0.544343,0.059091,0,0.138686,0,0.058427,0.454241,0,0,0.315589,0.732463,0,0.107056,0,0,0,0.284722,0.307692,0.535354,0.845619,0.491803,0.156627,0,0.319202,0,0.155797,0.420561,0.193548,0,0,0,1,0,0,0.320513,0,0.349112,0.107011,0.291304,0.037634,0,0.840909,0,0.502703,0.425,0,0,0,' class-2'
0.063433,0.07598,0,0.152174,0,0,0.291237,0,0,0,0.493333,0.018018,0.212838,0.475524,0,0,0.492021,0.298343,0,0,0,0.691131,0,0,0.742701,0,0,0.149554,0,0.322581,0.243346,0.905383,0,0,0,0,0,0.606481,0.1875,0,0.411683,0.786885,0,0,0.218204,0,0.242754,0,0,0.13941,0.030769,0,0,0,0,0.262821,0.201278,0.295858,0.276753,0.630435,0.236559,0,0,0.029126,0,0.810714,0,0,0,' class-1'
0.41791,0.362745,0,0,0,0,0.627577,0,0,0,0,0.085586,0.131757,0.503497,0.301887,0.333333,0.175532,0,0,0.162602,0,0.611621,0.068182,0,0,0,0.05618,0.478795,0,0.709677,0.361217,0.76509,0,0,0.015957,0,0,0.131944,0.341346,0,0.94993,0.540984,0.28012,0,0.269327,0,0.199275,0.074766,0.397849,0,0,0,0.975871,0,0,0.429487,0,0.571006,0.081181,0.16087,0.290323,0,0,0,0.475676,0.478571,0,0,0,' class-2'
0.75,0.811275,0.358974,0,0,0.210526,0.748711,0,0,0,0,0.385135,0.331081,0.097902,0.649596,0,0,0.453039,0,0.268293,0,0,0,0.375,0,0.411306,0.478652,0.841518,0.900763,0,0,0,0,0.189781,0.718085,0,0,0.710648,0,0,0,0,0,0.216981,0.654613,0,0.246377,0,0.043011,0.096515,0.415385,0.215415,0.718499,0,0,0,0.348243,0,0.346863,0,0.037634,0,0.704545,0.524272,0.227027,1,0,0.718101,0,' class-1'
0.406716,0.897059,0.251282,0,0,0,0.863402,0.056818,0,0,0,0.344595,0.057432,0.223776,0.738544,0.186667,0,0.618785,0,0.796748,0,0,0.172727,0.46875,0,0.302144,0.350562,0.733259,0.954198,0,0,0,0,0,0,0,0,0.275463,0,0,0,0,0.506024,0.028302,0.822943,0,0.057971,0,0.505376,0.053619,0.615385,0.104743,0.190349,0,0,0,0.083067,0,0.708487,0,0.419355,1,0,0.932039,0.113514,0,0,0.477745,0,' class-2'
0.125,0.02451,0.020513,0,1,0,0.114691,0,0,0,0,0,0.138514,0,0,0,0.590426,0.171271,0,0,0,0.896024,0.181818,0,0.465328,0,0,0.077009,0,0,0.365019,0.964111,0,0,0.106383,0,0,0.694444,0.466346,0,0.49235,0.786885,0,0,0.304239,0,0.293478,0.065421,0,0.128686,0.092308,0,0.128686,0,0,0.75641,0.172524,0.301775,0.284133,0.965217,0.225806,0,0,0.174757,0,0.878571,0.002833,0,0,' class-2'
0.031716,0.041667,1,0,0,0,0.146907,0.07197,0,0,0,0.027027,0.351351,0,0.090296,0,0.537234,0,0,0,0,0.944954,0.727273,0,0.177007,0.003899,0.11236,0.361607,0,0.370968,0.144487,0.920065,0,0,0,0,0,0.62963,0.206731,0,0.534075,0.754098,0,0.273585,0.213217,0,0.166667,0.084112,0,0,0,0.047431,0.072386,0,0,0.480769,0.025559,0.331361,0.394834,0.595652,0.166667,0,0,0.893204,0.021622,0.621429,0.036827,0,0,' class-2'
0.662313,0.927696,0.14359,0,0,0,0.833763,0,0,0.701299,0.093333,0.689189,0.172297,0.482517,0.800539,0,0,0.723757,0.073529,0.341463,0,0,0.145455,0.0625,0,0.617934,0.705618,0.827009,0.870229,0,0,0,0,0.111922,0.037234,0,0,0.643519,0,0,0,0,0,0,0.716958,0,0.173913,0,0,0.214477,0.276923,0.290514,0.670241,0,0,0,0.105431,0,0.199262,0,0.188172,0,0,0.61165,0.410811,0.432143,0,0.946588,0,' class-1'
0.123134,0,0,0.119565,0.147059,0,0,0,0,0,0,0,0.560811,0,0,0,0.292553,0,0,0,0,0.400612,0.095455,0,0,0,0,0.026786,0,0,0.1673,0.686786,0,0,0,0,0,0.712963,0,0,0.397775,0.306011,0,1,0,0,0,0,0,0,0,0,0.042895,0,0,0.75641,0,0.491124,0,0.726087,0.026882,0,0,0,0,0.85,0,0,0,' class-1'
0.919776,0.97549,0.097436,0,0,0,0.960052,0,0,0.766234,0.24,0.324324,0.591216,0.447552,0.530997,0,0,0.287293,0,0.308943,1,0,0.040909,0,0,0.31384,0.440449,0.6875,0.442748,0.177419,0.186312,0,0,0,0,0,0,0.851852,0,0.343434,0,0,0,0,0.910224,0,0.224638,0,0.795699,0.22252,0.092308,0.219368,0.391421,1,0,0,0.124601,0,0.177122,0,0.16129,0,0.568182,0.378641,0.335135,0.882143,0,0.284866,0,' class-2'
0.94403,0.292892,0,0,0,0,0.221649,0,0,0.467532,0,0.583333,0.138514,0.426573,0.130728,0,0,0,0,0,0,0,0.363636,0,0.023723,0.576998,0,0.191964,0,0.419355,0.30038,0.011419,0.088889,0,0,0,0,0.930556,0.173077,0,0,0,0,0.084906,0.218204,0,0.311594,0.280374,0.225806,0.576408,0.261538,0.606719,0.557641,0,0,0.00641,0,0,0,0.056522,0.172043,0,0.022727,0,0,0.689286,0,0.540059,0,' class-1'
0.764925,0.768382,0.174359,0,0.5,0,0.801546,0,0,0,0,0.292793,0.391892,0,1,0,0.087766,0.353591,0,1,0,0.538226,0.381818,0,0,0.274854,0.379775,0.950893,0.59542,0.951613,0.775665,0.448613,0,0.114355,0,0,0,0.75,0.230769,0,0.410292,0.125683,0.177711,0,0.662095,0,0.282609,1,0,0.134048,0.123077,0.120553,0.546917,0,0,0.653846,0.003195,0.372781,0.328413,0.565217,0.043011,0,0.045455,0.737864,0.140541,0.871429,0,0.31454,0,' class-1'
0.003731,0.0625,0,0,0,0,0.188144,0.011364,0,0,0.466667,0,0.206081,0.496503,0.030997,0,0.412234,0.022099,0,0,0,0.666667,0.086364,0,0.50365,0,0,0.178571,0,0.16129,0.121673,0.874388,0,0,0,0,0,0.662037,0.028846,0,0.584145,0.540984,0,0.358491,0.077307,0,0.155797,0,0,0.174263,0,0,0,0,0,0.634615,0,0.346154,0.369004,0.869565,0,0,0,0.07767,0,0.728571,0,0,0,' class-2'
0.093284,0.053922,0,0.669565,0.088235,0,0.180412,0,0,0,0,0.132883,0.125,0.300699,0.092992,0.16,0.462766,0.558011,0,0.04065,0,0.834862,0.186364,0,0.262774,0,0.002247,0.065848,0.068702,0,0.296578,0.936378,0,0,0.021277,0.337349,0,0.884259,0.466346,0,0.47427,0.830601,0,0.179245,0.345387,0.531915,0.460145,0.299065,0,0,0.046154,0.005929,0.238606,0,0,0.673077,0.4377,0.387574,0,0.869565,0.311828,0,0,0.087379,0,0.792857,0.028329,0,0,' class-1'
0.117537,0.003676,0,0.043478,0.676471,0,0.072165,0,0,0,0.24,0.036036,0.22973,0.559441,0.036388,0,0.515957,0,0,0,0,0.853211,0.181818,0,0.094891,0,0,0.058036,0,0.080645,0.117871,0.721044,0,0,0,0,0,0.668981,0.586538,0,0.388039,0.595628,0,0,0.169576,0,0.304348,0.130841,0,0,0,0,0.029491,0,0.76087,0.474359,0,0.272189,0,0.926087,0.435484,0,0,0,0,0.778571,0,0,0,' class-2'
0.791045,0.517157,0.128205,0,0,0.157895,0.542526,0,0,0,0,0.351351,0.14527,0.601399,0.737197,0.426667,0,0.497238,0,0.422764,0,0,0.477273,0,0,0.407407,0.404494,0.770089,0.687023,0,0.072243,0,0,0.07056,0.744681,0,0,0.824074,0.081731,0.505051,0,0,0.222892,0.169811,0.501247,0,1,0.130841,0.11828,0.144772,0.169231,0.158103,0.613941,0,0,0.102564,0.140575,0,0.649446,0.069565,0.069892,0,0,0.718447,0.124324,0.796429,0,0.403561,0,' class-1'
0.182836,0.102941,0,0.415217,0,0.447368,0.304124,0,0,0,0.2,0.218468,0.243243,0.475524,0.063342,0.133333,0.598404,0.176796,0,0,0,0.761468,1,0,0.675182,0,0,0.103795,0.083969,0.241935,0.197719,0.776509,0,0.004866,0,0.156627,0,0.743056,0.418269,0.262626,0.386648,0.775956,0,0,0.286783,0,0.23913,0.056075,0,0.112601,0.307692,0.005929,0.050938,0,0,0.423077,0.095847,0.239645,0,0.769565,0.145161,0,0,0.07767,0,0.792857,0,0,0,' class-1'
0.363806,0.392157,0,0,0,0,0.744845,0,0,0,1,0.063063,0.172297,0,0.117251,0,0.125,0,0.308824,0.130081,0,0.474006,0.422727,0,0,0,0,0.253348,0,0.209677,0.288973,0.665579,0,0.014599,0,0,0,0.148148,0.216346,0,0.980529,0.508197,0.310241,0.396226,0.468828,0,0.152174,0,0.677419,0,0,0,0.83378,0,0,0.198718,0,1,0,0,0.860215,0,0.045455,0,0.735135,0.375,0,0,0,' class-2'
0,0.101716,0,0.202174,0,0,0.280928,0,0,0,0.253333,0,0.222973,0,0.008086,0,0.382979,0.331492,0,0,0,0.571865,0.122727,0,0.127737,0,0,0.098214,0,0,0.129278,0.825449,0,0,0,0,0,0.539352,0,0,0.4242,0.590164,0,0,0.13217,0,0,0,0,0,0,0,0,0,0,0.576923,0.284345,0.322485,0.103321,0.547826,0,0,0,0,0,0.757143,0,0,0,' class-1'
0.375,0.449755,0,0,0.147059,0,0.748711,0,0,0,0,0.031532,0.195946,0.797203,0.19407,0,0.638298,0,0.264706,0,0,0.969419,0.427273,0,0,0,0,0.329241,0,0,0.509506,0.743883,0,0,0.015957,0,0,0.171296,0.336538,0.151515,0.521558,0.513661,0.012048,0,0.548628,0,0.380435,0,0,0,0,0,0.882038,0,0.032609,0.455128,0,0.420118,0.073801,0.034783,0.193548,0,0.25,0,0.589189,0.367857,0,0,0,' class-1'
0.18097,0.053922,0,0.086957,0,0,0.074742,0,0,0,0,0.065315,0.337838,0,0.004043,0,0.430851,0.160221,0,0,0,0.584098,0.204545,0,0.144161,0.023392,0,0.110491,0,0,0.072243,0.799347,0,0.046229,0,0,0,0.787037,0,0,0.400556,0.628415,0,0.066038,0.034913,0,0.101449,0,0.150538,0,0,0,0.069705,0,0,0.685897,0.063898,0.230769,0.066421,0.473913,0.236559,0,0,0,0,0.753571,0,0,0,' class-1'
0.753731,0.808824,0.097436,0.004348,0,0.631579,0.784794,0,0,0,0.04,0.308559,0.459459,0.58042,0.797844,0,0.476064,0.535912,0,0.284553,0,0.168196,0.218182,0.34375,0,0.296296,1,0.887277,0.969466,0.177419,0.851711,0.32137,0,0.569343,0,0,0,0.601852,0.302885,0,0.335188,0.540984,0,0.037736,0.638404,0,0.105072,0.476636,0.655914,0.27882,0.261538,0.211462,0.533512,0,0,0.121795,0,0.251479,0.173432,0.26087,0.215054,0,0,0.757282,0.275676,0.878571,0,0.163205,0,' class-1'
0.059701,0.193627,0,0.547826,0,0,0.536082,0.037879,0,0.272727,0.733333,0.092342,0.212838,0.818182,0.079515,0,0.617021,0.259669,0,0,0,0.743119,0.068182,0,0.014599,0,0,0.223214,0,0.33871,0.425856,0.985318,0,0,0,0.204819,0,0.706019,0.1875,0,0.535466,0.945355,0.10241,0,0.352868,0.223404,0.275362,0,0,0,0,0,0.117962,0,0,0.544872,0.555911,0.369822,0.059041,0.765217,0.032258,0,0,0.203883,0,0.889286,0,0,0,' class-2'
0.089552,0.073529,0,0.043478,0,0,0.189433,0,0,0.155844,0,0.011261,0,0.006993,0.025606,0,0.523936,0,0,0,0,0.691131,0.163636,0,0.001825,0,0,0.041295,0,0,0.315589,0.908646,0,0,0,0,0,0.75463,0.182692,0.313131,0.514604,0.743169,0,0,0.120948,0,0.119565,0,0,0,0,0,0.058981,0,0.304348,0.230769,0.086262,0.286982,0,0.669565,0.188172,0,0,0,0,0.846429,0,0,0,' class-2'
