@relation wd.txt

@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 {' class-0',' class-1'}

@data
527.2,0.000692,82.61,19.31,' class-1'
224.5,0.02061,54.34,11.79,' class-1'
311.9,0.01084,64.55,14.88,' class-1'
221.8,0.03,54.66,20.98,' class-1'
645.7,0.2135,96.42,22.15,' class-0'
260.9,0.05988,59.2,13.86,' class-1'
499,0.1128,82.69,23.84,' class-0'
668.3,0.1267,97.4,23.94,' class-0'
269.4,0.02172,60.11,21.01,' class-1'
394.1,0.03709,71.8,19.04,' class-1'
250.5,0.313,58.79,17.33,' class-1'
502.5,0.03653,81.37,16.49,' class-1'
1130,0.108,123.6,21.31,' class-0'
244,0.08606,58.79,14.64,' class-1'
929.4,0.1692,114.2,24.52,' class-0'
584.1,0.07789,90.43,15.79,' class-0'
470.9,0.03372,79.19,16.52,' class-1'
817.7,0.09769,104.1,19.65,' class-0'
559.2,0.06877,87.91,10.94,' class-1'
1006,0.1684,120.2,16.15,' class-0'
1245,0.3754,143.7,23.97,' class-0'
506.3,0.03889,83.19,18,' class-1'
401.5,0.04591,73.81,20.97,' class-1'
520,0.1169,86.49,15.86,' class-1'
1878,0.3339,171.5,24.91,' class-0'
1132,0.1937,129.1,26.29,' class-0'
443.3,0.04151,76.95,15.65,' class-1'
1075,0.1335,121.1,18.52,' class-0'
648.2,0.1204,94.25,21.46,' class-0'
1076,0.1468,122,24.59,' class-0'
466.1,0.06015,79.78,21.8,' class-1'
651.9,0.09966,95.77,15.24,' class-1'
662.7,0.03102,94.57,24.02,' class-1'
728.2,0.1122,100.2,22.76,' class-0'
551.7,0.03261,84.74,14.76,' class-1'
555.1,0.03974,86.6,18.3,' class-1'
705.6,0.17,100.3,19.83,' class-0'
1264,0.1465,132.4,23.03,' class-0'
451.1,0.0249,77.79,17.84,' class-1'
294.5,0.006829,62.11,19.94,' class-1'
412.6,0.04196,74.34,12.84,' class-1'
642.5,0.09388,94.48,19.77,' class-0'
582.7,0.08625,88.05,24.98,' class-0'
143.5,0,43.79,13.43,' class-1'
458.7,0.02383,77.22,20.52,' class-1'
298.3,0.06154,63.95,19.4,' class-1'
336.1,0.02995,67.41,19.29,' class-1'
530.2,0.2071,87.21,15.56,' class-0'
412.5,0.0707,75.17,18.33,' class-1'
466.7,0.02643,79.01,18.54,' class-1'
1509,0.4264,152.8,19.67,' class-0'
396.5,0.05133,72.48,21.26,' class-1'
290.2,0.04334,62.5,16.99,' class-1'
480.4,0.1065,82.15,20.76,' class-1'
629.9,0.3003,97.83,19.65,' class-1'
334.2,0.06476,68.64,20.19,' class-1'
230.9,0.04132,55.84,15.83,' class-1'
438.6,0.03328,76.53,21.53,' class-1'
245.2,0.09263,58.74,15.76,' class-1'
682.5,0.169,98.64,16.67,' class-0'
782.6,0.2133,105.7,22.91,' class-0'
982,0.07293,114.2,20.01,' class-0'
403.3,0.03512,73.34,10.82,' class-1'
1077,0.1457,121.4,17.12,' class-0'
1761,0.4268,166.2,20.2,' class-0'
640.7,0.08842,94.28,10.89,' class-1'
553.5,0.08092,86.1,16.39,' class-1'
588.7,0.0142,88.44,17.21,' class-1'
572.6,0.05285,87.76,24.69,' class-0'
1138,0.09271,123.4,18.91,' class-0'
674.5,0.1138,99.58,16.39,' class-1'
1192,0.2545,130.4,25.12,' class-0'
455.8,0.02855,79.08,13.29,' class-1'
748.9,0.1466,101.7,19.48,' class-0'
809.8,0.1043,106.2,21.54,' class-0'
761.7,0.07135,102,13.93,' class-1'
1075,0.1153,120.2,21.91,' class-0'
506.3,0.04711,81.72,22.47,' class-0'
423.6,0.03592,74.72,16.67,' class-1'
399.8,0.03503,73.06,15.39,' class-1'
678.1,0.1539,96.85,17.57,' class-0'
384.8,0.04635,73,13.39,' class-1'
288.5,0,61.24,11.97,' class-1'
813,0.09447,105.1,18.05,' class-0'
398,0.02031,73.66,17.31,' class-1'
512.2,0.04894,83.74,15.92,' class-1'
355.3,0.02251,68.26,14.97,' class-1'
432.8,0.0371,78.11,14.65,' class-1'
432,0.1659,78.99,16.58,' class-0'
689.5,0.0905,97.84,18.77,' class-1'
640.1,0.08487,93.97,15.18,' class-1'
585,0.02881,88.12,17.91,' class-1'
519.4,0.03136,83.51,20.78,' class-1'
203.9,0.1321,53.27,20.7,' class-1'
300.2,0.4108,63.78,15.34,' class-1'
381.9,0.01982,70.87,13.08,' class-1'
538.9,0.09293,85.31,15.34,' class-1'
460.3,0.03885,78.27,17.94,' class-1'
963.7,0.1855,117.4,20.74,' class-0'
880.2,0.0515,108.4,19.46,' class-1'
448.6,0.01972,76.84,12.74,' class-1'
366.8,0.00309,68.69,12.96,' class-1'
419.8,0.06843,76.1,20.18,' class-1'
1157,0.1193,126.3,15.94,' class-0'
1214,0.2508,130.7,18.15,' class-0'
464.5,0.0537,79.85,22.22,' class-1'
1686,0.1324,152.1,22.04,' class-0'
690.2,0.01947,95.5,19.76,' class-1'
357.6,0.02531,68.77,9.71,' class-1'
886.3,0.08422,109.3,18.8,' class-0'
984.6,0.2159,116.1,24.68,' class-0'
685.9,0.02602,96.22,16.95,' class-1'
464.1,0.03987,78.85,12.39,' class-1'
565.4,0.05858,85.84,19.63,' class-0'
736.9,0.2032,102.5,11.89,' class-0'
372.7,0.02363,70.21,14.71,' class-1'
349.6,0,67.49,15.15,' class-1'
227.2,0,54.42,14.45,' class-1'
302.4,0.1307,64.6,18.06,' class-1'
832.9,0.1793,109.3,20.11,' class-0'
526.4,0.001595,82.01,22.22,' class-1'
508.8,0.009193,81.29,13.06,' class-1'
2250,0.2871,182.1,21.87,' class-0'
1311,0.2487,142.7,26.57,' class-0'
766.6,0.06593,101.2,20.31,' class-0'
402,0.06181,73.53,14.92,' class-1'
710.6,0.05375,98.92,22.41,' class-0'
317.5,0.001597,63.76,15.11,' class-1'
1041,0.08169,118.6,18.58,' class-0'
420.3,0.03809,74.68,17.19,' class-1'
428.9,0.02353,75.27,17.39,' class-1'
463.7,0.03844,78.83,15.9,' class-1'
609.9,0.1981,94.37,23.12,' class-0'
507.4,0.03112,82.02,21.41,' class-1'
288.1,0,60.73,18.22,' class-1'
477.4,0.1085,81.15,26.86,' class-0'
671.4,0.1697,100.4,23.21,' class-0'
516.4,0.03873,82.53,16.33,' class-1'
588.9,0.1385,90.63,22.29,' class-0'
1024,0.1103,117.4,21.84,' class-0'
1148,0.1114,127.5,22.49,' class-0'
642.7,0.118,94.49,20.22,' class-0'
461,0.04187,78.54,19.56,' class-1'
951.6,0.1036,115.1,19.32,' class-0'
1685,0.3523,158.9,26.67,' class-0'
597.8,0.1558,91.56,23.75,' class-0'
481.9,0.08005,81.09,18.6,' class-1'
716.6,0.0755,98.78,16.68,' class-0'
295.4,0.01756,62.92,17.27,' class-1'
904.3,0.0695,109.7,20.26,' class-0'
529.4,0.08705,87.02,22.54,' class-1'
725.5,0.05892,98.17,12.91,' class-1'
1290,0.164,134.7,22.14,' class-0'
428,0.02669,75.51,18.94,' class-1'
2499,0.3201,188.5,18.47,' class-0'
948,0.1682,114.5,25.56,' class-0'
610.7,0.1115,92.87,23.81,' class-0'
578.9,0.09901,90.96,16.93,' class-0'
432.2,0.06636,77.32,18.35,' class-1'
321.2,0.05774,65.05,17.48,' class-1'
1230,0.1272,129.7,21.56,' class-0'
1223,0.1145,128,32.47,' class-0'
568.9,0.03888,87.88,13.16,' class-1'
561.3,0.0786,88.59,13.9,' class-1'
313.1,0.01768,65.12,17.53,' class-1'
761.3,0.1147,102.6,20.25,' class-0'
546.4,0.03554,84.55,17.02,' class-1'
641.2,0.05724,92.51,13.47,' class-1'
329.6,0.006643,66.62,15.46,' class-1'
684.5,0.06505,97.45,15.51,' class-1'
496.4,0.05438,81.35,23.97,' class-1'
503.2,0.1695,85.26,22.33,' class-0'
895,0.191,113.4,19.08,' class-0'
395.7,0.01633,71.76,27.08,' class-1'
386.8,0.004967,70.79,33.81,' class-1'
1319,0.1554,134.4,27.81,' class-0'
279.6,0.01652,60.21,15.91,' class-1'
603.4,0.01462,89.79,21.25,' class-1'
1670,0.195,153.5,26.97,' class-0'
1306,0.09042,132.5,21.46,' class-0'
623.9,0.1103,92.55,27.85,' class-1'
920.6,0.1417,113.4,39.28,' class-0'
575.3,0.04705,87.38,15.6,' class-1'
476.5,0.01053,78.61,15.04,' class-1'
389.4,0.1548,73.93,18.19,' class-1'
590,0.04697,88.54,23.77,' class-1'
1155,0.2049,129.1,23.5,' class-0'
337.7,0.04831,66.72,19.86,' class-1'
541.6,0.04336,84.13,17.43,' class-1'
512.2,0.1374,84.95,14.11,' class-1'
347,0.02379,68.01,25.22,' class-1'
406.3,0.04328,73.87,14.93,' class-1'
1364,0.2712,138.9,23.56,' class-0'
407.4,0.02638,73.28,18.45,' class-1'
1206,0.2417,130.7,19.82,' class-0'
928.2,0.1266,113,17.08,' class-0'
1169,0.1379,126.5,19.33,' class-0'
602.4,0.09789,91.43,17.05,' class-0'
1207,0.1784,133.6,28.77,' class-0'
713.3,0.2448,103.2,17.27,' class-0'
773.5,0.3176,110.2,23.2,' class-0'
744.9,0.1751,103.7,33.56,' class-0'
1288,0.1519,132.9,27.06,' class-0'
933.1,0.02891,111,23.06,' class-0'
947.8,0.09697,114.4,22.13,' class-0'
758.6,0.04209,100,19.38,' class-0'
928.3,0.09061,111.6,22.07,' class-0'
1419,0.1367,135.7,31.12,' class-0'
346.4,0.06387,69.28,18.95,' class-1'
561,0.04072,87.16,21.84,' class-1'
512.2,0.039,82.38,16.21,' class-1'
344.9,0.08448,69.5,20.39,' class-1'
632.6,0.00725,90.3,16.82,' class-1'
388,0.03265,72.23,13.04,' class-1'
1491,0.2195,147.3,20.99,' class-0'
289.9,0.01103,61.5,15.67,' class-1'
998.9,0.05699,115.2,24.48,' class-0'
435.6,0.05929,76.2,17.36,' class-1'
396.6,0.001487,71.79,14.16,' class-1'
1102,0.0802,120.9,19.98,' class-0'
572.3,0.01997,86.24,17.84,' class-1'
587.4,0.04479,88.99,15.18,' class-1'
1138,0.1921,126.2,26.6,' class-0'
427.3,0.02245,74.24,14.02,' class-1'
1145,0.1626,127.2,18.18,' class-0'
805.1,0.1948,108.8,18.77,' class-0'
516.6,0.1115,84.08,15.7,' class-1'
489,0.00186,79.83,18.4,' class-1'
441,0.06574,77.87,20.76,' class-1'
515.9,0.0226,81.89,13.12,' class-1'
394.1,0.09274,73.72,19.96,' class-1'
396,0.02399,72.17,18.89,' class-1'
651,0.1362,96.03,19.73,' class-1'
687.3,0.0594,97.03,19.1,' class-1'
513.7,0.06155,83.14,16.02,' class-1'
432.7,0.02688,75.54,17.46,' class-1'
492.1,0.01288,81.78,13.78,' class-1'
582.7,0.01063,88.06,13.27,' class-1'
363.7,0.01236,69.14,12.35,' class-1'
431.1,0.02685,75,18.14,' class-0'
633.1,0.02475,91.22,18.17,' class-1'
334.2,0.02495,66.85,23.09,' class-1'
1217,0.2197,129.5,18.9,' class-0'
471.3,0.0683,80.43,19.89,' class-1'
1247,0.2283,134.7,23.86,' class-0'
334.3,0.02297,66.86,18.61,' class-1'
403.1,0.03344,73.59,18.16,' class-1'
417.2,0.01974,74.23,24.49,' class-1'
537.3,0.001461,84.07,15.82,' class-1'
246.3,0.003681,56.36,14.4,' class-1'
566.2,0.002758,85.69,12.71,' class-1'
530.6,0.004559,82.71,13.84,' class-1'
418.7,0.01583,74.33,19.11,' class-1'
664.9,0.01447,92.68,15.69,' class-1'
504.1,0.04052,82.29,13.37,' class-1'
409.1,0.01367,73.73,10.72,' class-1'
221.2,0,54.09,18.6,' class-1'
481.6,0.004473,79.19,16.85,' class-1'
461.4,0.01123,77.25,14.08,' class-1'
1027,0.113,118.7,18.87,' class-0'
244.5,0.1975,60.07,18.9,' class-1'
477.3,0.01342,78.6,17,' class-1'
324.2,0.06726,66.52,16.18,' class-1'
1274,0.1155,131.1,19.66,' class-0'
504.8,0.038,82.82,13.32,' class-1'
1264,0.2565,135.9,21.51,' class-0'
457.9,0.01994,78.01,15.21,' class-1'
489.9,0.03193,81.25,17.3,' class-1'
616.5,0.01765,90.03,12.88,' class-1'
446,0.001546,76.09,17.93,' class-1'
813.7,0.1478,106.9,20.71,' class-0'
826.8,0.1799,107.5,21.88,' class-0'
793.2,0.1204,105.8,15.51,' class-0'
514,0.07107,84.52,19.35,' class-1'
387.3,0.005006,71.94,19.86,' class-1'
390,0.000974,71.38,14.78,' class-1'
464.4,0.007756,77.88,19.02,' class-1'
918.6,0.1508,111.8,21,' class-0'
514.3,0.03738,84.08,14.23,' class-1'
1092,0.106,122.9,21.43,' class-0'
310.8,0.02511,64.41,17.53,' class-1'
1747,0.2308,155.1,24.27,' class-0'
641.2,0.08007,94.15,16.54,' class-1'
280.5,0.08422,61.64,16.84,' class-1'
373.9,0.05397,71.49,14.96,' class-1'
1194,0.1863,129.9,21.68,' class-0'
420.3,0.04006,75.03,15.45,' class-1'
321.6,0.03581,66.2,14.71,' class-1'
445.3,0.00751,76.66,18.9,' class-1'
668.7,0.04608,94.87,14.74,' class-1'
402.7,0.02587,73.02,16.03,' class-1'
426.7,0.01171,77.23,14.96,' class-1'
421,0.008306,73.7,17.07,' class-1'
758.6,0.2914,107.1,19.22,' class-0'
2010,0.3368,174.2,17.46,' class-0'
716.6,0.1235,98,25.74,' class-0'
384.6,0.04505,71.24,14.07,' class-1'
485.8,0.103,81.92,19.07,' class-1'
512,0.09603,85.09,18.59,' class-1'
593.7,0.01502,88.52,16.21,' class-1'
241,0.04721,56.74,15.49,' class-1'
278.6,0.0271,59.82,18.32,' class-1'
491.9,0.001194,79.42,18.07,' class-1'
546.1,0.03344,85.24,21.57,' class-1'
496.6,0.02688,81.87,18.84,' class-1'
838.1,0.05862,106.6,18.29,' class-1'
552.4,0.02181,85.48,16.95,' class-1'
1293,0.09799,133.8,21.78,' class-0'
1234,0.1641,133.7,26.83,' class-0'
458.4,0.04392,78.31,18.02,' class-1'
1546,0.1168,140.9,17.25,' class-0'
1482,0.2448,147.2,21.9,' class-0'
840.4,0.1811,109,23.29,' class-0'
711.8,0.03393,97.65,13.21,' class-1'
1386,0.1932,141.3,15.1,' class-0'
1335,0.1527,134.8,17.35,' class-0'
579.1,0.02556,87.84,16.07,' class-1'
788.5,0.06651,106.3,16.07,' class-1'
338.3,0.228,70.15,20.22,' class-1'
562.1,0.01271,85.89,28.21,' class-1'
580.6,0.04249,88.27,15.15,' class-1'
361.6,0.1689,73.3,18.83,' class-0'
386.3,0.079,73.16,12.96,' class-1'
372.7,0.03546,70.67,14.93,' class-1'
447.8,0.07943,78.75,22.72,' class-1'
462.9,0.05892,80.64,17.48,' class-1'
541.8,0.05077,85.79,13.72,' class-1'
664.7,0.0839,93.97,23.29,' class-0'
462,0.06839,78.78,14.09,' class-1'
596.6,0.02045,88.37,16.16,' class-1'
392,0.1007,73.38,15.5,' class-1'
1174,0.1856,128.9,23.21,' class-0'
321.6,0.01923,65.75,12.22,' class-1'
234.3,0,55.27,16.84,' class-1'
744.7,0.1891,102.4,19.97,' class-0'
1407,0.281,144.4,22.28,' class-0'
446.2,0.04783,78.07,17.72,' class-1'
609.1,0.02681,89.75,17.18,' class-1'
558.1,0.0858,88.1,18.89,' class-1'
508.3,0.0739,83.05,17.46,' class-1'
378.2,0.02712,70.31,14.83,' class-1'
431.9,0.02853,75.26,17.26,' class-1'
994,0.3189,124.4,21.02,' class-0'
442.7,0.02606,76.14,10.91,' class-1'
525.2,0.04057,84.18,18.29,' class-1'
507.6,0.03296,83.18,16.17,' class-1'
469.1,0.02109,78.29,14.95,' class-1'
370,0.04944,70.39,18.59,' class-1'
800,0.055,104.3,14.86,' class-1'
514.5,0.06126,82.63,21.37,' class-1'
991.7,0.1201,117.8,20.66,' class-0'
466.1,0.03211,78.41,17.92,' class-1'
399.8,0.02783,72.49,17.57,' class-1'
373.2,0.03046,70.92,16.83,' class-1'
268.8,0.03735,59.75,21.68,' class-1'
693.7,0.06859,97.53,22.11,' class-1'
719.5,0.04686,96.71,29.81,' class-0'
433.8,0.02555,76.39,21.17,' class-1'
271.2,0.02047,59.6,21.7,' class-1'
803.1,0.1522,102.9,21.08,' class-0'
495,0.0236,80.88,12.17,' class-1'
380.3,0.008955,70.95,21.41,' class-1'
409.7,0.05485,74.2,19.04,' class-1'
656.1,0.145,98.22,13.98,' class-1'
408.2,0.07097,75.46,16.02,' class-1'
575.3,0.09657,89.46,19.13,' class-1'
289.7,0.008934,61.93,19.12,' class-1'
307.3,0.00247,63.19,21.28,' class-1'
333.6,0.06335,67.49,14.98,' class-1'
359.9,0.03614,68.79,21.98,' class-1'
381.1,0.01369,70.47,16.62,' class-1'
501.3,0.01402,80.98,17.67,' class-1'
685,0.2733,102.1,22.53,' class-0'
467.8,0.07741,81.47,17.68,' class-1'
1250,0.2133,133.8,19.54,' class-0'
1110,0.1594,123.7,21.97,' class-0'
673.7,0.03346,94.89,16.94,' class-1'
599.5,0.1126,91.12,19.62,' class-0'
509.2,0.01797,82.67,19.54,' class-1'
611.2,0.03534,89.78,15.98,' class-1'
592.6,0.01342,88.68,19.6,' class-1'
606.5,0.02087,89.59,15.66,' class-1'
371.5,0.09457,71.73,17.2,' class-1'
928.8,0.1204,112.4,25.42,' class-0'
585.9,0.01055,88.37,15.79,' class-1'
340.9,0.01993,66.82,18.32,' class-1'
990,0.109,117.5,16.85,' class-0'
441.3,0.05441,77.61,24.89,' class-1'
981.6,0.1698,117.3,28.03,' class-0'
674.8,0.04069,95.88,17.66,' class-1'
659.7,0.08817,94.25,19.34,' class-1'
1384,0.1572,138.1,20.52,' class-0'
432,0.08777,76.83,21.54,' class-1'
1191,0.1655,127.7,25,' class-0'
442.5,0.04055,76.77,28.23,' class-1'
644.2,0.06895,93.86,13.98,' class-1'
492.9,0.02966,80.62,17.15,' class-1'
557.2,0.02819,86.34,30.72,' class-1'
415.1,0.0716,74.87,29.29,' class-1'
537.9,0.02772,84.1,25.25,' class-1'
520.2,0.01206,82.61,25.13,' class-1'
290.9,0.01541,61.68,28.2,' class-1'
930.9,0.1007,111.2,27.15,' class-0'
2501,0.3635,186.9,26.27,' class-0'
646.1,0.03476,92.25,26.99,' class-1'
412.7,0.03367,73.88,18.36,' class-1'
537.3,0.04859,84.28,18.22,' class-1'
542.9,0.101,86.87,20.13,' class-1'
536.9,0.1085,85.98,20.74,' class-1'
286.3,0.01479,61.06,18.1,' class-1'
980.5,0.2136,119,23.33,' class-0'
408.8,0.102,76.38,18.18,' class-1'
289.1,0.02948,61.49,18.49,' class-1'
449.9,0.02367,76.85,28.14,' class-1'
686.9,0.05539,96.45,14.93,' class-1'
465.4,0,77.42,29.97,' class-1'
358.9,0.05115,70.41,15.62,' class-1'
506.9,0.05835,82.89,15.73,' class-1'
618.4,0.05063,92.41,20.53,' class-1'
599.4,0.02224,88.97,16.62,' class-1'
404.9,0.05308,73.99,14.59,' class-1'
815.8,0.2236,109.8,19.51,' class-0'
455.3,0.02916,78.29,18.03,' class-1'
602.9,0.02995,88.73,19.24,' class-1'
546.3,0.05786,87.32,14.06,' class-1'
571.1,0.04548,87.76,17.64,' class-1'
747.2,0.1191,102.8,11.28,' class-1'
476.7,0.1544,82.85,16.41,' class-1'
666,0.05192,94.21,16.85,' class-1'
1167,0.2256,128.1,18.82,' class-0'
420.5,0.04279,75.49,16.17,' class-1'
857.6,0.03649,107.1,20.2,' class-0'
466.5,0.01714,78.18,22.44,' class-1'
992.1,0.04445,114.6,13.23,' class-1'
1007,0.117,118.4,20.56,' class-0'
477.3,0.007173,78.83,12.83,' class-1'
538.7,0.018,84.06,20.54,' class-1'
680.9,0.06824,96.12,20.21,' class-1'
485.6,0.08017,82.69,18.17,' class-1'
480.1,0.03609,80.45,17.31,' class-1'
1068,0.1491,121.3,17.52,' class-0'
1320,0.2188,137.8,21.24,' class-0'
689.4,0.07721,98.73,16.74,' class-1'
595.9,0.1357,92.33,24.49,' class-0'
476.3,0.05928,81.25,16.32,' class-1'
1682,0.1676,152.1,19.83,' class-0'
248.7,0.0973,61.49,12.87,' class-1'
272.5,0.1188,64.12,13.14,' class-1'
453.1,0.08175,79.47,20.04,' class-1'
366.5,0.04063,71.25,17.12,' class-1'
819.8,0.05526,104.7,15.7,' class-1'
731.3,0.203,103.8,23.95,' class-0'
426,0.06726,76.31,14.69,' class-1'
680.7,0.03416,94.66,14.7,' class-1'
556.7,0.1445,88.64,20.52,' class-0'
658.8,0.08222,94.29,13.66,' class-1'
701.9,0.07486,97.26,19.07,' class-0'
391.2,0.04302,72.76,18.61,' class-1'
1052,0.1569,120.8,20.58,' class-0'
1214,0.1411,130.5,20.26,' class-0'
493.1,0.04825,84.45,18.22,' class-1'
493.8,0.0388,82.51,16.7,' class-1'
257.8,0.03332,59.96,13.9,' class-1'
1841,0.231,165.5,21.6,' class-0'
388.1,0.005067,71.3,19.83,' class-1'
571,0.05385,88.73,18.68,' class-1'
293.2,0.0233,63,15.68,' class-1'
221.3,0.02565,54.53,13.1,' class-1'
551.1,0.04201,87.44,18.75,' class-1'
468.5,0.02958,78.94,12.27,' class-1'
594.2,0.101,90.31,13.17,' class-1'
445.2,0.03781,77.83,13.44,' class-1'
422.9,0.05282,75.89,17.56,' class-1'
416.2,0.042,75.21,20.02,' class-1'
575.5,0.01752,87.76,16.33,' class-1'
1299,0.1523,134.7,20.67,' class-0'
365.6,0.05263,70.79,17.62,' class-1'
1308,0.2085,137.8,20.86,' class-0'
629.8,0.1463,93.77,22.55,' class-0'
406.4,0.04515,76.37,24.44,' class-1'
178.8,0,47.98,25.49,' class-1'
170.4,0.09252,48.34,25.44,' class-1'
402.9,0.06737,74.65,14.44,' class-1'
656.4,0.1009,95.81,24.99,' class-1'
668.6,0.04105,94.7,25.42,' class-1'
538.4,0.02987,84.88,28.06,' class-1'
584.8,0.03688,89.77,20.7,' class-1'
573.2,0.02974,87.19,23.23,' class-1'
324.9,0.01012,65.31,16.35,' class-1'
320.8,0.04358,65.85,16.58,' class-1'
285.7,0.02337,61.05,19.34,' class-1'
361.6,0.01548,68.89,24.21,' class-1'
360.5,0,68.51,21.48,' class-1'
378.4,0.04824,71.49,22.44,' class-1'
507.9,0.01997,81.35,29.43,' class-1'
264,0.03996,59.01,21.94,' class-1'
514.3,0.06195,82.5,28.92,' class-1'
321.4,0.05999,65.67,27.61,' class-1'
311.7,0.005025,64.73,19.59,' class-1'
271.3,0,59.26,27.88,' class-1'
657.1,0.1029,96.39,22.68,' class-1'
403.5,0.1112,74.52,23.93,' class-1'
600.4,0.04462,91.38,27.15,' class-1'
386,0,70.67,29.37,' class-1'
716.9,0.255,103.4,30.62,' class-0'
1347,0.3174,143,25.09,' class-0'
1479,0.2439,142,22.39,' class-0'
1261,0.144,131.2,28.25,' class-0'
858.1,0.09251,108.3,28.08,' class-0'
1265,0.3514,140.1,29.33,' class-0'
181,0,47.92,24.54,' class-1'
